title,year,ml_ratings_count,cf_can_handle,emb_neighbours,vote_average
I'm Not Ashamed,2016.0,7,False,10,7.219
The Wall,2017.0,67,False,10,6.353
2036: Nexus Dawn,2017.0,35,False,10,6.873
Men in Black: International,2019.0,256,False,10,5.937
Curmudgeons,2016.0,2,False,10,7.462
Ghostland,2018.0,67,False,10,7.35
Bring It On: Worldwide #Cheersmack,2017.0,12,False,10,6.036
Lost & Found,2017.0,10,False,10,5.6
My Nephew Emmett,2017.0,6,False,10,6.3
The Irishman,2019.0,12,False,10,7.615
Camino,2016.0,3,False,10,4.9
Back in the Day,2016.0,3,False,10,2.968
Travis Scott: Look Mom I Can Fly,2019.0,7,False,10,6.914
Big Bad,2016.0,1,False,10,4.2
Alice Through the Looking Glass,2016.0,892,False,10,6.55
Barbie: Dolphin Magic,2017.0,11,False,10,6.699
Alterscape,2017.0,1,False,10,3.0
Pumpkin Pie Wars,2016.0,6,False,10,6.098
In a Valley of Violence,2016.0,58,False,10,6.129
Notes on Blindness,2016.0,16,False,10,6.984
A Billion Lives,2016.0,2,False,10,8.0
A Puppy for Christmas,2016.0,2,False,10,6.4
Beyond the Woods,2018.0,2,False,10,3.792
Intruder,2016.0,4,False,10,3.6
K-Shop,2016.0,2,False,10,5.885
Mayhem,2017.0,66,False,10,6.466
Mariah Carey's All I Want for Christmas Is You,2017.0,2,False,10,5.218
A Very Sordid Wedding,2017.0,2,False,10,5.45
Darkness Rising,2017.0,6,False,10,3.683
My Dead Dad's Porno Tapes,2018.0,2,False,10,6.9
The Hurt Business,2016.0,6,False,10,5.8
Turbulence,2016.0,1,False,10,6.1
"We Love You, Sally Carmichael!",2017.0,4,False,10,5.974
Jarhead 3: The Siege,2016.0,19,False,10,6.25
Catfight,2016.0,32,False,10,5.55
In a Heartbeat,2017.0,113,False,10,8.005
Vice,2018.0,520,False,10,7.051
The Vanishing,2018.0,20,False,10,5.7
Bright,2017.0,927,False,10,6.156
Patti Cake$,2017.0,51,False,10,6.647
Prey,2019.0,2,False,10,4.754
The Lost Wife of Robert Durst,2017.0,1,False,10,5.9
I'll Be Home for Christmas,2016.0,3,False,10,6.08
Woodstock,2019.0,8,False,10,7.122
To Dust,2018.0,4,False,10,6.225
Papillon,2018.0,86,False,10,7.337
A Beautiful Planet,2016.0,5,False,10,6.902
The Transfiguration,2017.0,19,False,10,6.021
Delirium,2018.0,3,False,10,4.8
Who Will Write Our History?,2019.0,3,False,10,7.6
Being Charlie,2016.0,38,False,10,6.227
Holidays,2016.0,52,False,10,4.956
Hailey Dean Mysteries: Dating Is Murder,2017.0,2,False,10,7.2
Ripped,2017.0,8,False,10,4.814
Tokyo Project,2017.0,2,False,10,6.769
Dear Basketball,2017.0,22,False,10,7.318
Eagles of Death Metal - Nos Amis (Our Friends),2017.0,7,False,10,7.5
Beautiful Prison,2016.0,4,False,10,5.154
Little Boxes,2017.0,12,False,10,6.2
Sherlock: The Abominable Bride,2016.0,42,False,10,7.866
The Female Brain,2017.0,10,False,10,5.667
Handsome: A Netflix Mystery Movie,2017.0,15,False,10,5.246
2040,2019.0,2,False,10,6.726
Hans Zimmer: Live in Prague,2017.0,5,False,10,8.5
Bloodrunners,2017.0,1,False,10,5.0
Joker,2019.0,818,False,10,8.168
Tyrel,2018.0,5,False,10,5.7
The Yellow Birds,2017.0,8,False,10,5.883
Jane Fonda in Five Acts,2018.0,8,False,10,7.6
Little Bitches,2018.0,6,False,10,5.5
Pope Francis: A Man of His Word,2018.0,9,False,10,7.214
Allegiant,2016.0,912,False,10,6.1
13 Graves,2019.0,3,False,10,5.3
Trouble,2019.0,1,False,10,6.657
Mascots,2016.0,97,False,10,5.44
Avengers: Endgame,2019.0,2872,False,10,8.263
Lemon,2017.0,13,False,10,4.467
Once Upon a Time… in Hollywood,2019.0,895,False,10,7.437
Circus Kane,2017.0,6,False,10,4.0
It's a Hard Truth Ain't It,2018.0,1,False,10,7.0
We Don't Belong Here,2017.0,2,False,10,5.771
Whitney,2018.0,26,False,10,7.378
All Nighter,2017.0,32,False,10,5.729
The Unseen,2016.0,8,False,10,5.837
Norman Lear: Just Another Version of You,2016.0,3,False,10,7.0
The Night Stalker,2016.0,4,False,10,7.0
Don't Knock Twice,2017.0,34,False,10,5.514
Avengement,2019.0,13,False,10,6.8
American Exorcism,2017.0,1,False,10,4.938
Chaos Walking,2019.0,7,False,10,6.635
A Dash of Love,2017.0,7,False,10,6.2
Homecoming: A Film by Beyoncé,2019.0,11,False,10,8.2
Tig Notaro: Happy To Be Here,2018.0,23,False,10,6.125
Clownado,2019.0,1,False,10,3.66
My Christmas Prince,2017.0,1,False,10,6.3
Eddie's Life Coach,2017.0,1,False,10,6.267
American Factory,2019.0,30,False,10,7.161
Miss Stevens,2016.0,42,False,10,6.606
Birthmarked,2018.0,13,False,10,5.816
Logan Lucky,2017.0,863,False,10,6.729
Kill Command,2016.0,141,False,10,5.57
"Blood, Sand & Gold",2017.0,2,False,10,6.2
Jim Jefferies: Freedumb,2016.0,92,False,10,7.183
Iron Sky: The Coming Race,2016.0,35,False,10,5.1
Lego DC Comics Super Heroes: The Flash,2018.0,5,False,10,6.879
Before You Know It,2019.0,1,False,10,5.125
Albion: The Enchanted Stallion,2016.0,10,False,10,5.811
The Leisure Seeker,2017.0,32,False,10,7.062
Possum,2018.0,28,False,10,6.25
Battalion,2018.0,2,False,10,3.167
Salt and Fire,2016.0,11,False,10,4.765
The Heyday of the Insensitive Bastards,2016.0,4,False,10,5.143
Dater's Handbook,2016.0,9,False,10,5.768
Manhattan Undying,2016.0,2,False,10,4.8
Residue,2017.0,6,False,10,6.278
Person to Person,2017.0,11,False,10,5.214
Folk Hero & Funny Guy,2016.0,9,False,10,5.6
John Mulaney: Kid Gorgeous at Radio City,2018.0,84,False,10,7.853
The Narrow World,2017.0,2,False,10,5.818
Decommissioned,2016.0,2,False,10,3.727
Revengeance,2017.0,1,False,10,5.955
American Honey,2016.0,250,False,10,6.805
Ulysses: A Dark Odyssey,2018.0,1,False,10,5.25
Thank You for Your Service,2017.0,36,False,10,6.512
The Fanatic,2019.0,7,False,10,4.481
Coco,2017.0,3819,False,10,8.222
Dim the Fluorescents,2017.0,3,False,10,4.3
Incarnate,2016.0,40,False,10,5.354
The Tribes of Palos Verdes,2017.0,11,False,10,5.3
Happy Hunting,2017.0,15,False,10,5.06
The Girl in the Bathtub,2018.0,3,False,10,5.7
Autumn in the Vineyard,2016.0,5,False,10,6.1
The Tragically Hip - Long Time Running,2017.0,4,False,10,7.9
They Remain,2018.0,6,False,10,5.0
Air Strike,2018.0,9,False,10,4.9
Adventures in Babysitting,2016.0,20,False,10,7.324
Night Howl,2017.0,1,False,10,4.6
6 Days,2017.0,63,False,10,6.012
The Truth About Killer Robots,2018.0,2,False,10,5.0
Whitney Cummings: I'm Your Girlfriend,2016.0,2,False,10,6.1
Cars 3,2017.0,377,False,10,6.853
The Good Nanny,2017.0,2,False,10,5.635
A Young Man With High Potential,2019.0,1,False,10,5.4
For Sama,2019.0,4,False,10,8.257
The Dark,2018.0,14,False,10,6.042
The Dark Tapes,2017.0,12,False,10,5.234
The Northlander,2016.0,3,False,10,4.783
Citizen Soldier,2016.0,6,False,10,6.0
Girl in the Box,2016.0,4,False,10,6.733
Dolphin Man,2017.0,1,False,10,7.25
Morris from America,2016.0,36,False,10,5.984
8 Bit Generation: The Commodore Wars,2016.0,1,False,10,6.7
Creed II,2018.0,297,False,10,7.015
Keeping Up with the Joneses,2016.0,377,False,10,6.1
Casting JonBenet,2017.0,55,False,10,5.71
Blood Machines,2019.0,1,False,10,5.979
Asperger's Are Us,2016.0,7,False,10,5.632
Destination Wedding,2018.0,91,False,10,5.745
Becoming Cary Grant,2016.0,8,False,10,6.859
Ice Guardians,2016.0,11,False,10,7.0
Floyd Norman: An Animated Life,2016.0,8,False,10,7.115
Pyewacket,2017.0,35,False,10,5.864
Undrafted,2016.0,8,False,10,7.367
Free State of Jones,2016.0,234,False,10,6.7
O.G.,2018.0,3,False,10,5.972
Kenny,2017.0,2,False,10,7.348
The Babysitter,2017.0,328,False,10,6.117
The Man Who Killed Don Quixote,2018.0,68,False,10,6.773
The Secret Life of Pets,2016.0,1623,False,10,6.266
Spell,2018.0,0,False,10,4.719
"Hale County This Morning, This Evening",2018.0,17,False,10,5.962
Prescription Thugs,2016.0,10,False,10,6.4
Bed of the Dead,2016.0,6,False,10,5.178
Miles,2016.0,13,False,10,5.412
Ghostheads,2016.0,5,False,10,6.0
Dirty Computer,2018.0,14,False,10,7.083
Revolt,2017.0,31,False,10,5.482
20th Century Women,2016.0,375,False,10,7.348
Galaxy of Horrors,2017.0,4,False,10,5.105
Danger Close: The Battle of Long Tan,2019.0,3,False,10,6.863
A Moving Romance,2017.0,2,False,10,6.417
Beware the Slenderman,2016.0,39,False,10,6.513
Undercover Brother 2,2019.0,1,False,10,3.8
The B-Side: Elsa Dorfman's Portrait Photography,2017.0,5,False,10,6.857
Marathon: The Patriots Day Bombing,2016.0,6,False,10,6.795
Heartthrob,2017.0,6,False,10,5.307
Tall Men,2016.0,5,False,10,4.1
Sebastian Maniscalco: Stay Hungry,2019.0,8,False,10,6.5
At the Heart of Gold: Inside the USA Gymnastics Scandal,2019.0,9,False,10,7.283
Porcupine Lake,2017.0,5,False,10,5.5
Ramy Youssef: Feelings,2019.0,1,False,10,6.208
Enlighten Us: The Rise and Fall of James Arthur Ray,2016.0,3,False,10,6.1
Operator,2016.0,24,False,10,5.754
Dancer,2016.0,13,False,10,7.363
Rim of the World,2019.0,66,False,10,5.969
The Highwaymen,2019.0,185,False,10,6.733
Marianne & Leonard: Words of Love,2019.0,3,False,10,6.5
Swiss Army Man,2016.0,1207,False,10,6.9
Peterloo,2018.0,14,False,10,6.836
American Romance,2016.0,2,False,10,4.423
